,Product_name,Product_price,Product_buy_link
18,* Ready stock * Ceramic mug with lid mug with cover and tea spoon,RM17.90,https://shopee.com.my//*-Ready-stock-*-Ceramic-mug-with-lid-mug-with-cover-and-tea-spoon--i.62297765.5277111863?position=18
19,Ready StockStarbucks Stainless Steel Coffee Spoon Goddess Dessert Coffee and Sand Ice Stirring Mug Metal Spoon,RM2.79 - RM3.45,https://shopee.com.my//Ready-StockStarbucks-Stainless-Steel-Coffee-Spoon-Goddess-Dessert-Coffee-and-Sand-Ice-Stirring-Mug-Metal-Spoon-i.286177711.5885765232?position=19
20,"ikea-FRGRIK Mug, 250ml-4colors",RM3.90,https://shopee.com.my//ikea-FRGRIK-Mug-250ml-4colors-i.12852041.4135729919?position=20
21,(Couple set) MILANDO 3-Piece Set Couple Mug Ceramic Cup Valentine Gift Wedding Gift Set Hadiah Cawan (Type 3),RM34.00,https://shopee.com.my//(Couple-set)-MILANDO-3-Piece-Set-Couple-Mug-Ceramic-Cup-Valentine-Gift-Wedding-Gift-Set-Hadiah-Cawan-(Type-3)-i.60693125.7255767515?position=21
22,<Ready Stock> Ceramic Horoscope Black Mug / Cup (with Lid and Spoon) Gift Pack / Set,RM19.90 - RM26.90,https://shopee.com.my//-Ready-Stock-Ceramic-Horoscope-Black-Mug-Cup-(with-Lid-and-Spoon)-Gift-Pack-Set-i.261474084.7336390938?position=22
23,TYPO Mug Anytime Mug / Daily Mug / ALPHA DAILY MUG Cup-  PART 1/2,RM20.00 - RM25.00,https://shopee.com.my//TYPO-Mug-Anytime-Mug-Daily-Mug-ALPHA-DAILY-MUG-Cup-PART-1-2-i.62380410.8605354489?position=23
24,Sublimation Inner and Handle Colour Mug  Empty Sublimation Mug for heatpress,RM3.90 - RM5.40,https://shopee.com.my//Sublimation-Inner-and-Handle-Colour-Mug--Empty-Sublimation-Mug-for-heatpress-i.161174796.4720819555?position=24
25,*IKEA* 1 PCS FARGRIK MUG STONEWARE 25CL IKEA FRGRIK MUG IKEA MUG IKEA CUP STONEWARE CUP - 100% FROM IKEA,RM5.90,https://shopee.com.my//*IKEA*-1-PCS-FARGRIK-MUG-STONEWARE-25CL-IKEA-FRGRIK-MUG-IKEA-MUG-IKEA-CUP-STONEWARE-CUP-100-FROM-IKEA-i.81141550.8205867449?position=25
26,"IKEA FRGRIK Mug / Cawan Ikea, 25 cl",RM1.00 - RM4.90,https://shopee.com.my//IKEA-FRGRIK-Mug-Cawan-Ikea-25-cl-i.37387140.2718053462?position=26
27,Retro Coffee Mug Personalized Tea Mugs Portable Enamel Cup Office Mug Printed Coating Enamel Drinkware,RM10.90,https://shopee.com.my//Retro-Coffee-Mug-Personalized-Tea-Mugs-Portable-Enamel-Cup-Office-Mug-Printed-Coating-Enamel-Drinkware-i.156343366.9655111275?position=27
28,IKEA KALAS 1-Piece Mug,RM1.80,https://shopee.com.my//IKEA-KALAS-1-Piece-Mug-i.17097663.8883405251?position=28
29,"Customise Marble Mug with spoon&lid, Customise Your Name on mug, Birthday Gift, Hadiah, doorgiftset",RM55.00,https://shopee.com.my//Customise-Marble-Mug-with-spoon-lid-Customise-Your-Name-on-mug-Birthday-Gift-Hadiah-doorgiftset-i.84066316.2861774128?position=29
30,Letter Printed Transparent Creative Glass Coffee Tea Drinks Dessert Breakfast Milk Cup Glass Mugs Handle Drinkware,RM6.99 - RM8.78,https://shopee.com.my//Letter-Printed-Transparent-Creative-Glass-Coffee-Tea-Drinks-Dessert-Breakfast-Milk-Cup-Glass-Mugs-Handle-Drinkware-i.283364640.7258389765?position=30
31,CHERRY Constant temperature Cup smart 55 degree warm cup coffee milk heating cup warm Cup Panas cawan mug warmer,RM18.77 - RM20.77,https://shopee.com.my//CHERRY-Constant-temperature-Cup-smart-55-degree-warm-cup-coffee-milk-heating-cup-warm-Cup-Panas-cawan-mug-warmer-i.253007016.8631147230?position=31
32,AKIRO 150-450ML High Borosilicate Insulation Double Wall Clear Glass Mug Coffee Cup Tea Milk Cocktail Mugs Drinkware,RM10.90 - RM16.90,https://shopee.com.my//AKIRO-150-450ML-High-Borosilicate-Insulation-Double-Wall-Clear-Glass-Mug-Coffee-Cup-Tea-Milk-Cocktail-Mugs-Drinkware-i.19709348.5253116546?position=32
33,Origami Style Glass Cup Transparent Tea Coffee Mug Ice Beer Cup Heat Resistant Insulated Glass Cup Creative Milk Juice Mug,RM6.50 - RM15.40,https://shopee.com.my//Origami-Style-Glass-Cup-Transparent-Tea-Coffee-Mug-Ice-Beer-Cup-Heat-Resistant-Insulated-Glass-Cup-Creative-Milk-Juice-Mug------i.433045975.11301056484?position=33
34,ZEEGO Double Wall Glass Cup Cute Bear Coffee Mug Milk Mug Juice Drinkware Heat-Resistant Tea Cup High Borosilicate Glass,RM5.50 - RM14.50,https://shopee.com.my//ZEEGO-Double-Wall-Glass-Cup-Cute-Bear-Coffee-Mug-Milk-Mug-Juice-Drinkware-Heat-Resistant-Tea-Cup-High-Borosilicate-Glass-i.389577304.3084734088?position=34
35,450ml Heat Resistant Drinking Glass Bottle Mug with Straw & Lid Transparent Cute Mug Milk Water Bottle Smoothie Cup,RM13.50,https://shopee.com.my//450ml-Heat-Resistant-Drinking-Glass-Bottle-Mug-with-Straw-Lid-Transparent-Cute-Mug-Milk-Water-Bottle-Smoothie-Cup-i.115963854.3056205386?position=35
36,Korea ins niche retro hand-squeezed wind irregular pitting mug coffee latte cup garland cup breakfast cup,RM18.99 - RM51.70,https://shopee.com.my//Korea-ins-niche-retro-hand-squeezed-wind-irregular-pitting-mug-coffee-latte-cup-garland-cup-breakfast-cup-i.360015709.11211864158?position=36
